LOTE,REPETIÇÃO,SEMENTE,CLASSE,VIGOR,% VERMELHO
2,2,22,4,1,"40,58143581"
2,2,23,4,1,"13,88182079"
2,2,24,3,0,"15,49112192"
2,2,25,2,0,"86,52161079"
2,2,26,4,1,"23,04410218"
2,2,27,4,1,"44,07107838"
2,2,28,4,1,"68,09704382"
2,2,29,3,0,"45,74855169"
2,2,30,4,1,"67,61256318"
2,2,31,4,1,"3,953589112"
2,2,32,4,1,"70,1297706"
2,2,33,4,1,"79,29132195"
2,2,34,4,1,"31,38333257"
2,2,35,4,1,"58,32158141"
2,2,36,4,1,"73,33979468"
2,2,37,3,0,"35,17072997"
2,2,38,3,0,"9,231864374"
2,2,39,4,1,"24,53337871"
2,2,40,3,0,"44,48642346"
2,2,41,4,1,"28,43862307"
2,2,42,4,1,"31,99876486"
2,2,43,3,0,"82,48074022"
2,2,44,3,0,"22,05424642"
2,2,45,2,0,"34,34935337"
2,2,46,2,0,"62,20299873"
2,2,47,4,1,"94,0835018"
2,2,48,4,1,"63,22889747"
2,2,49,4,1,"22,47487823"
2,2,50,3,0,"4,50932675"
3,1,1,4,1,"42,72718421"
3,1,2,4,1,"38,83774171"
3,1,3,4,1,"17,4232551"
3,1,4,5,1,"14,29037786"
3,1,5,4,1,"94,95369695"
3,1,6,4,1,"32,8870132"
3,1,7,4,1,"9,027386391"
3,1,8,4,1,"44,36212683"
3,1,9,4,1,"94,23493373"
3,1,10,4,1,"42,87760415"
3,1,11,3,0,"37,70283324"
3,1,12,4,1,"17,33475565"
3,1,13,3,0,"19,80341357"
3,1,14,4,1,"57,25758364"
3,1,15,4,1,"49,13062166"
3,1,16,5,1,"49,00924133"
3,1,17,4,1,"82,28380442"
3,1,18,4,1,"7,170213199"
3,1,19,4,1,"46,50291478"
3,1,20,5,1,"76,86321898"
3,1,21,4,1,"82,26361371"
3,1,22,3,0,"51,08210378"
3,1,23,3,0,"68,27652049"
3,1,24,4,1,"66,90797656"
3,1,25,4,1,"27,96086717"
3,1,26,4,1,"52,92684131"
3,1,27,5,1,"84,71122419"
3,1,28,4,1,"82,06175325"
3,1,29,4,1,"93,79118339"
3,1,30,4,1,"57,07527561"
3,1,31,1,0,"37,42691722"
3,1,32,4,1,"95,67273538"
3,1,33,3,0,"2,906100829"
3,1,34,4,1,"46,74439546"
3,1,35,4,1,"42,79558817"
3,1,36,4,1,"24,93846197"
3,1,37,4,1,"33,66911343"
3,1,38,3,0,"96,38249038"
3,1,39,3,0,"42,19126546"
3,1,40,4,1,"40,70663841"
3,1,41,3,0,"82,55537111"
3,1,42,4,1,"93,11915969"
3,1,43,3,0,"9,952954539"
3,1,44,3,0,"82,50559578"
3,1,45,3,0,"64,10553845"
3,1,46,4,1,"7,54437209"
3,1,47,4,1,"23,37277752"
3,1,48,5,1,"70,6409887"
3,1,49,4,1,"92,33383022"
3,1,50,4,1,"39,88170126"
3,2,1,4,1,"58,10341127"
3,2,2,4,1,"60,80850218"
3,2,3,4,1,"67,38479305"
3,2,4,4,1,"54,04655263"
3,2,5,4,1,"97,08607965"
3,2,6,4,1,"30,91073734"
3,2,7,4,1,"86,25289823"
3,2,8,5,1,"39,13102112"
3,2,9,4,1,"31,4322844"
3,2,10,4,1,"24,62962239"
3,2,11,6,1,"7,023589583"
3,2,12,4,1,"5,532765347"
3,2,13,4,1,"87,64954446"
3,2,14,6,1,"1,794045497"
3,2,15,4,1,"22,36391867"
3,2,16,4,1,"31,24611811"
3,2,17,4,1,"37,18346135"
3,2,18,2,0,"61,69566355"
3,2,19,4,1,"39,88544753"
3,2,20,4,1,"22,75938041"
3,2,21,3,0,"31,45538282"
3,2,22,4,1,"12,2440965"
3,2,23,4,1,"24,52164092"
3,2,24,6,1,"44,55305426"
3,2,25,4,1,"58,40706376"
3,2,26,6,1,"55,21607224"
3,2,27,4,1,"31,20649296"
3,2,28,4,1,"1,369547162"
3,2,29,3,0,"35,02067036"
3,2,30,4,1,"45,84126168"
3,2,31,5,1,"44,91063617"
3,2,32,2,0,"28,22567356"
3,2,33,4,1,"34,3645814"
3,2,34,6,1,"63,58092905"
3,2,35,5,1,"49,48577822"
3,2,36,6,1,"54,5650198"
3,2,37,4,1,"95,42239044"
3,2,38,4,1,"0,1937491663"
3,2,39,3,0,"66,78777349"
3,2,40,4,1,"60,99808456"
3,2,41,4,1,"79,29461893"
3,2,42,4,1,"31,04639247"
3,2,43,5,1,"43,19320833"
3,2,44,5,1,"39,75381886"
3,2,45,4,1,"16,31963665"
3,2,46,4,1,"86,11487862"
3,2,47,4,1,"11,89390063"
3,2,48,6,1,"3,26703163"
3,2,49,4,1,"35,24233331"
3,2,50,4,1,"78,23581432"
4,1,1,4,1,"26,24823536"
4,1,2,5,1,"59,25185635"
4,1,3,4,1,"77,76610353"
4,1,4,4,1,"77,90507765"
4,1,5,4,1,"41,98781973"
4,1,6,4,1,"85,16229436"
4,1,7,4,1,"79,65575629"
4,1,8,3,0,"46,28465684"
4,1,9,4,1,"24,2224155"
4,1,10,4,1,"90,11662411"
4,1,11,5,1,"43,01598551"
4,1,12,5,1,"51,06674074"
4,1,13,4,1,"68,95571513"
4,1,14,4,1,"48,16321522"
4,1,15,3,0,"33,45205521"
4,1,16,3,0,"93,4573391"
4,1,17,4,1,"58,21897896"
4,1,18,5,1,"23,19110959"
4,1,19,3,0,"10,52640609"
4,1,20,6,1,"68,7800873"
4,1,21,3,0,"12,94914507"
4,1,22,4,1,"82,83950628"
4,1,23,5,1,"40,25690477"
4,1,24,4,1,"68,06411383"
4,1,25,3,0,"68,38252435"
4,1,26,4,1,"16,43601872"
4,1,27,4,1,"44,35950099"
4,1,28,4,1,"3,468114285"
4,1,29,3,0,"73,00471959"
4,1,30,6,1,"30,29444471"
4,1,31,3,0,"12,52007451"
4,1,32,4,1,"6,506144674"
4,1,33,3,0,"3,991961913"
4,1,34,3,0,"92,62846774"
4,1,35,4,1,"41,18729584"
4,1,36,4,1,"4,778797092"
4,1,37,5,1,"99,59858292"
4,1,38,4,1,"39,88858326"
4,1,39,4,1,"65,21036374"
4,1,40,3,0,"30,27685443"
4,1,41,4,1,"32,08983415"
4,1,42,3,0,"36,50525415"
4,1,43,4,1,"17,10248214"
4,1,44,4,1,"50,31264539"
4,1,45,3,0,"83,58886526"
4,1,46,5,1,"0,822113013"
4,1,47,3,0,"82,79301313"
4,1,48,4,1,"40,74772704"
4,1,49,4,1,"41,60114494"
4,1,50,3,0,"71,42882778"
4,2,1,4,1,"22,43823272"
4,2,2,4,1,"40,42374895"
4,2,3,4,1,"0,9991633854"
4,2,4,2,0,"90,15397272"
4,2,5,4,1,"90,19269418"
4,2,6,4,1,"35,56662266"
4,2,7,4,1,"44,8948013"
4,2,8,2,0,"20,65409362"
4,2,9,5,1,"17,80017012"
4,2,10,4,1,"23,42243428"
4,2,11,2,0,"78,09623352"
4,2,12,3,0,"4,835879745"
4,2,13,4,1,"23,44524536"
4,2,14,3,0,"95,49680122"
4,2,15,4,1,"3,740832167"
4,2,16,4,1,"83,27417575"
4,2,17,4,1,"69,51361946"
4,2,18,3,0,"62,50765599"
4,2,19,4,1,"66,21499402"
4,2,20,4,1,"70,33934956"
4,2,21,4,1,"20,74122551"
4,2,22,4,1,"15,52472352"
4,2,23,4,1,"31,61644601"
4,2,24,4,1,"79,92325233"
4,2,25,2,0,"47,68927933"
4,2,26,2,0,"80,7572458"
4,2,27,2,0,"40,78396092"
4,2,28,4,1,"43,45388698"
4,2,29,4,1,"79,56446291"
4,2,30,3,0,"79,06477978"
4,2,31,4,1,"49,31413264"
4,2,32,4,1,"48,31459763"
4,2,33,4,1,"35,11040429"
4,2,34,4,1,"45,50416351"
4,2,35,4,1,"64,00424882"
4,2,36,3,0,"51,83441225"
4,2,37,2,0,"50,62868795"
4,2,38,4,1,"99,08907962"
4,2,39,4,1,"95,8048658"
4,2,40,2,0,"93,69195834"
4,2,41,2,0,"80,14467196"
4,2,42,1,0,"78,4268375"
4,2,43,4,1,"75,63528188"
4,2,44,3,0,"37,87611055"
4,2,45,3,0,"64,31537917"
4,2,46,5,1,"75,01038995"
4,2,47,4,1,"21,30955592"
4,2,48,4,1,"24,27238435"
4,2,49,4,1,"51,88380522"
4,2,50,4,1,"2,681753399"
5,1,1,4,1,"1,340284058"
5,1,2,4,1,"99,4947791"
5,1,3,4,1,"10,3159755"
5,1,4,3,0,"39,14640312"
5,1,5,2,0,"14,53189846"
5,1,6,4,1,"26,75863763"
5,1,7,4,1,"80,71413662"
5,1,8,4,1,"63,40640916"
5,1,9,4,1,"93,04473425"
5,1,10,4,1,"45,39082241"
5,1,11,4,1,"16,18153615"
5,1,12,4,1,"91,59340342"
5,1,13,4,1,"41,00570672"
5,1,14,4,1,"61,99930309"
5,1,15,4,1,"92,52116698"
5,1,16,4,1,"82,92074343"
5,1,17,4,1,"40,76088313"
5,1,18,4,1,"7,375024341"
5,1,19,4,1,"95,48302086"
5,1,20,4,1,"47,33749545"
5,1,21,4,1,"94,50988436"
5,1,22,4,1,"85,87473763"
5,1,23,2,0,"69,73131637"
5,1,24,4,1,"36,95518488"
5,1,25,4,1,"20,33144659"
5,1,26,4,1,"77,33419308"
5,1,27,4,1,"61,28526552"
5,1,28,4,1,"44,43150039"
5,1,29,4,1,"88,50413602"
5,1,30,4,1,"25,48696128"
5,1,31,4,1,"97,39393507"
5,1,32,4,1,"63,23343735"
5,1,33,4,1,"66,54562678"
5,1,34,3,0,"61,41484121"
5,1,35,3,0,"25,63781746"
5,1,36,4,1,"87,06566088"
5,1,37,4,1,"39,53857222"
5,1,38,4,1,"65,73165262"
5,1,39,4,1,"77,50673633"
5,1,40,4,1,"38,73811947"
5,1,41,4,1,"86,08057065"
5,1,42,2,0,"69,00300219"
5,1,43,4,1,"30,78574945"
5,1,44,4,1,"22,36025358"
5,1,45,4,1,"19,59030015"
5,1,46,2,0,"26,33031597"
5,1,47,4,1,"19,7877594"
5,1,48,4,1,"86,98739675"
5,1,49,4,1,"49,72138488"
5,1,50,4,1,"79,07831347"
5,2,1,4,1,"82,80354305"
5,2,2,4,1,"74,70826581"
5,2,3,4,1,"79,28014518"
5,2,4,4,1,"34,40080397"
5,2,5,4,1,"42,0969792"
5,2,6,2,0,"1,650722504"
5,2,7,4,1,"28,31284462"
5,2,8,4,1,"51,52049351"
5,2,9,4,1,"83,35522501"
5,2,10,4,1,"86,49623915"
5,2,11,4,1,"68,92263906"
5,2,12,4,1,"22,64428782"
5,2,13,4,1,"38,71072106"
5,2,14,4,1,"97,83182048"
5,2,15,3,0,"61,89593062"
5,2,16,4,1,"75,94633036"
5,2,17,3,0,"80,28382137"
5,2,18,4,1,"39,03140582"
5,2,19,4,1,"9,362364861"
5,2,20,4,1,"8,226807344"
5,2,21,3,0,"99,65196485"
5,2,22,4,1,"27,34701868"
5,2,23,4,1,"76,48227029"
5,2,24,4,1,"75,65533361"
5,2,25,3,0,"82,7333003"
5,2,26,3,0,"52,50326908"
5,2,27,3,0,"89,5498059"
5,2,28,4,1,"32,43352352"
5,2,29,4,1,"89,27969021"
5,2,30,2,0,"19,32707418"
5,2,31,4,1,"87,91968966"
5,2,32,4,1,"9,262118954"
5,2,33,4,1,"11,5061033"
5,2,34,2,0,"88,80770364"
5,2,35,3,0,"92,80984479"
5,2,36,4,1,"66,17380669"
5,2,37,3,0,"17,34037629"
5,2,38,3,0,"32,47061686"
5,2,39,4,1,"57,30191211"
5,2,40,4,1,"37,59371663"
5,2,41,3,0,"80,35939933"
5,2,42,3,0,"6,061759311"
5,2,43,3,0,"78,75598434"
5,2,44,4,1,"11,41526867"
5,2,45,3,0,"60,68479504"
5,2,46,2,0,"30,2773199"
5,2,47,3,0,"87,37560424"
5,2,48,3,0,"48,42989015"
5,2,49,4,1,"28,9431831"
5,2,50,3,0,"38,63723421"
6,1,1,6,1,"72,80346266"
6,1,2,4,1,"53,62489817"
6,1,3,4,1,"18,85319126"
6,1,4,4,1,"15,58892877"
6,1,5,3,0,"74,39783985"
6,1,6,3,0,"56,66458291"
6,1,7,4,1,"53,08334088"
6,1,8,4,1,"1,541203034"
6,1,9,4,1,"40,23436321"
6,1,10,3,0,"45,29536681"
6,1,11,4,1,"11,73202801"
6,1,12,4,1,"85,76629283"
6,1,13,4,1,"54,89713373"
6,1,14,4,1,"22,46664371"
6,1,15,3,0,"3,112823715"
6,1,16,4,1,"42,97156729"
6,1,17,4,1,"46,7678646"
6,1,18,4,1,"25,63470298"
6,1,19,4,1,"52,4853527"
6,1,20,4,1,"94,83048606"
6,1,21,3,0,"11,79117538"
6,1,22,4,1,"55,01795259"
6,1,23,3,0,"45,95402679"
6,1,24,4,1,"93,87579314"
6,1,25,4,1,"32,58871979"
6,1,26,4,1,"6,497385339"
6,1,27,4,1,"53,96397789"
6,1,28,4,1,"33,89618408"
6,1,29,3,0,"29,3143612"
6,1,30,4,1,"94,40704825"
6,1,31,4,1,"11,65552162"
6,1,32,4,1,"88,34094752"
6,1,33,4,1,"51,78713229"
6,1,34,4,1,"79,63504648"
6,1,35,3,0,"51,79555231"
6,1,36,4,1,"66,22539355"
6,1,37,3,0,"11,20827558"
6,1,38,3,0,"89,25640878"
6,1,39,4,1,"70,08626572"
6,1,40,3,0,"53,64315128"
6,1,41,4,1,"54,1631291"
6,1,42,4,1,"25,34486601"
6,1,43,6,1,"52,35867379"
6,1,44,5,1,"78,22966618"
6,1,45,5,1,"1,628240941"
6,1,46,4,1,"12,66149224"
6,1,47,4,1,"8,490386692"
6,1,48,4,1,"93,78458762"
6,1,49,4,1,"11,34854936"
6,1,50,5,1,"27,59378629"
6,2,1,4,1,"38,84415449"
6,2,2,4,1,"32,74892401"
6,2,3,3,0,"73,21904019"
6,2,4,2,0,"84,01968225"
6,2,5,3,0,"5,605721193"
6,2,6,2,0,"15,34618675"
6,2,7,4,1,"14,1998042"
6,2,8,4,1,"25,69670384"
6,2,9,2,0,"93,60657149"
6,2,10,3,0,"35,93502748"
6,2,11,3,0,"71,8129728"
6,2,12,2,0,"89,3272382"
6,2,13,4,1,"23,04915571"
6,2,14,3,0,"69,48409606"
6,2,15,3,0,"93,41449945"
6,2,16,3,0,"57,62673022"
6,2,17,3,0,"20,00922885"
6,2,18,4,1,"54,06820154"
6,2,19,2,0,"32,20333944"
6,2,20,2,0,"17,52238428"
6,2,21,2,0,"59,67198179"
6,2,22,4,1,"8,898087243"
6,2,23,3,0,"40,32506092"
6,2,24,3,0,"75,0356521"
6,2,25,2,0,"71,96564858"
6,2,26,2,0,"41,63444043"
6,2,27,3,0,"4,446490698"
6,2,28,3,0,"55,45269571"
6,2,29,4,1,"39,58831781"
6,2,30,4,1,"83,60001333"
6,2,31,3,0,"29,82249636"
6,2,32,4,1,"35,06272405"
6,2,33,3,0,"24,3807202"
6,2,34,4,1,"66,99204428"
6,2,35,3,0,"55,14557104"
6,2,36,5,1,"9,04483651"
6,2,37,4,1,"29,57976"
6,2,38,3,0,"24,31042612"
6,2,39,3,0,"72,36339733"
6,2,40,6,1,"99,00993184"
6,2,41,3,0,"42,69463615"
6,2,42,4,1,"46,95535812"
6,2,43,3,0,"33,16907646"
6,2,44,3,0,"43,25484396"
6,2,45,4,1,"6,579384078"
6,2,46,2,1,"87,31150065"
6,2,47,4,0,"47,01332486"
6,2,48,3,0,"92,96181432"
6,2,49,4,1,"34,73273301"
6,2,50,4,1,"26,62391511"
7,1,1,4,1,"14,25734295"
7,1,2,2,0,"58,37704746"
7,1,3,4,1,"20,93820584"
7,1,4,4,1,"59,58439407"
7,1,5,4,1,"92,47970654"
7,1,6,3,0,"10,42800184"
7,1,7,4,1,"93,06436957"
7,1,8,4,1,"65,78502377"
7,1,9,3,0,"63,97011015"
7,1,10,2,0,"45,28974766"
7,1,11,4,1,"26,17725865"
7,1,12,2,0,"48,05912533"
7,1,13,2,0,"58,08732867"
7,1,14,2,0,"62,08658084"
7,1,15,3,0,"61,07395337"
7,1,16,4,1,"18,21799898"
7,1,17,3,0,"83,42827365"
7,1,18,2,0,"87,21580542"
7,1,19,4,1,"70,92836251"
7,1,20,4,1,"1,805168024"
7,1,21,2,0,"41,64962204"
7,1,22,3,0,"2,70642256"
7,1,23,3,0,"80,94726843"
7,1,24,4,1,"15,22811601"
7,1,25,4,1,"27,30293681"
7,1,26,4,1,"0,5762269789"
7,1,27,2,0,"73,76676284"
7,1,28,3,0,"40,99079257"
7,1,29,3,0,"66,18879407"
7,1,30,3,0,"90,32657411"
7,1,31,3,0,"6,776185387"
7,1,32,4,1,"89,73841344"
7,1,33,4,1,"8,50492697"
7,1,34,3,0,"32,51490465"
7,1,35,3,0,"26,63873081"
7,1,36,3,0,"91,43938828"
7,1,37,3,0,"72,45797116"
7,1,38,3,0,"57,77086721"
7,1,39,3,0,"90,98493557"
7,1,40,4,1,"2,26751302"
7,1,41,3,0,"29,02785479"
7,1,42,4,1,"57,67263131"
7,1,43,4,1,"97,58725638"
7,1,44,4,1,"48,61078287"
7,1,45,2,0,"29,21848217"
7,1,46,4,1,"1,575861336"
7,1,47,3,0,"77,28101175"
7,1,48,3,0,"55,12152199"
7,1,49,3,0,"1,397869036"
7,1,50,3,0,"41,78848189"
7,2,1,3,0,"28,4789683"
7,2,2,4,1,"19,83577571"
7,2,3,3,0,"88,22536699"
7,2,4,4,1,"18,41023122"
7,2,5,3,0,"58,33388675"
7,2,6,2,0,"6,128189522"
7,2,7,3,0,"50,1832369"
7,2,8,4,1,"64,70674915"
7,2,9,4,1,"48,43539973"
7,2,10,4,1,"18,63193594"
7,2,11,3,0,"35,87428525"
7,2,12,2,0,"44,06373693"
7,2,13,2,0,"81,384597"
7,2,14,2,0,"18,24141199"
7,2,15,4,1,"8,016844835"
7,2,16,4,1,"20,36748926"
7,2,17,2,0,"48,67171492"
7,2,18,3,0,"9,928858686"
7,2,19,4,1,"18,46291431"
7,2,20,3,0,"75,08390522"
7,2,21,3,0,"9,989403885"
7,2,22,4,1,"6,344231089"
7,2,23,4,1,"45,58477905"
7,2,24,4,1,"36,35884864"
7,2,25,4,1,"89,4460403"
7,2,26,3,0,"30,03094163"
7,2,27,4,1,"43,01998543"
7,2,28,3,0,"78,13852528"
7,2,29,4,1,"75,1005836"
7,2,30,4,1,"67,57844853"
7,2,31,4,1,"0,03408725999"
7,2,32,5,1,"80,60928787"
7,2,33,3,0,"34,82252363"
7,2,34,4,1,"30,1458476"
7,2,35,4,1,"80,65505554"
7,2,36,4,1,"17,18212861"
7,2,37,4,1,"73,68751144"
7,2,38,3,0,"6,528967949"
7,2,39,4,1,"91,25285791"
7,2,40,3,0,"47,79781846"
7,2,41,3,0,"35,95122043"
7,2,42,3,0,"17,30676544"
7,2,43,4,1,"24,38216872"
7,2,44,6,1,"53,50451517"
7,2,45,4,1,"98,10115021"
7,2,46,3,0,"91,59100027"
7,2,47,3,0,"40,4757429"
7,2,48,4,1,"43,0603733"
7,2,49,3,0,"8,567957766"
7,2,50,4,1,"91,51659967"
8,1,1,4,1,"78,37052031"
8,1,2,4,1,"98,73950954"
8,1,3,4,1,"4,385076478"
8,1,4,4,1,"3,848255866"
8,1,5,4,1,"30,66803251"
8,1,6,6,1,"5,570463239"
8,1,7,4,1,"75,41730773"
8,1,8,4,1,"2,942194562"
8,1,9,4,1,"80,57523852"
8,1,10,4,1,"25,91203265"
8,1,11,4,1,"52,7361642"
8,1,12,4,1,"64,79025317"
8,1,13,4,1,"73,1414362"
8,1,14,4,1,"39,57220844"
8,1,15,5,1,"69,30175912"
8,1,16,4,1,"77,98674778"
8,1,17,4,1,"85,70142686"
8,1,18,3,0,"68,60163894"
8,1,19,4,1,"78,31804366"
8,1,20,4,1,"54,19685419"
8,1,21,4,1,"69,85465772"
8,1,22,4,1,"45,44390376"
8,1,23,4,1,"17,46025762"
8,1,24,2,0,"88,06851243"
8,1,25,4,1,"60,45457397"
8,1,26,4,1,"63,3006233"
8,1,27,4,1,"75,63048143"
8,1,28,4,1,"54,51817095"
8,1,29,4,1,"85,85193995"
8,1,30,4,1,"68,37020755"
8,1,31,6,1,"52,97919167"
8,1,32,4,1,"59,93392999"
8,1,33,4,1,"68,03047965"
8,1,34,5,1,"15,04484705"
8,1,35,5,1,"4,637780603"
8,1,36,4,1,"83,07795097"
8,1,37,4,1,"71,29263278"
8,1,38,4,1,"7,201116784"
8,1,39,3,0,"23,93899828"
8,1,40,4,1,"51,33329827"
8,1,41,4,1,"43,7977967"
8,1,42,4,1,"91,39536984"
8,1,43,4,1,"51,85934926"
8,1,44,3,0,"98,42857761"
8,1,45,4,1,"97,5249901"
8,1,46,4,1,"51,07582021"
8,1,47,4,1,"95,99947242"
8,1,48,4,1,"40,88714138"
8,1,49,2,0,"89,12632039"
8,1,50,3,0,"74,84907349"
8,2,1,4,1,"4,625553644"
8,2,2,4,1,"92,18580313"
8,2,3,4,1,"96,6572573"
8,2,4,4,1,"36,38958118"
8,2,5,3,0,"69,12693137"
8,2,6,3,0,"5,971344867"
8,2,7,4,1,"35,31417503"
8,2,8,4,1,"28,75632364"
8,2,9,4,1,"21,70196278"
8,2,10,3,0,"2,671352438"
8,2,11,4,1,"19,07920845"
8,2,12,3,0,"41,68175463"
8,2,13,4,1,"54,16635108"
8,2,14,4,1,"87,44923576"
8,2,15,4,1,"54,5669766"
8,2,16,4,1,"56,82387676"
8,2,17,4,1,"8,485142307"
8,2,18,3,0,"11,69150135"
8,2,19,4,1,"48,38724308"
8,2,20,4,1,"63,02307115"
8,2,21,4,1,"79,96158048"
8,2,22,4,1,"65,07870861"
